pepA	azuC	crp	melR	prpR	rhaS	mtlR	zraR	fucR	ascG	lsrD	tnaA	mtlA	fucI	hofB	trxA	yhfA	malY	kbaZ	malK	cyaR	dadX	prpE	mtlD	agp	lsrC	araA	rhaD	entD	xseA	ykgR	glgA	hofC	fiu	modA	cirA	htpG	dksA	modC	gdhA	sfsA	zraP	dsdA	zraS	fbaA	agaV	fucA	glgS	fucU	glpE
0.9809953	0.1818230	0.9525621	0.9616328	0.5510957	0.7579443	0.8531408	0.8261773	0.8041638	0.9667592	0.0000000	0.9846228	0.6767855	0.9879274	1.0242028	0.2816022	0.8990213	0.0982254	0.9919734	1.0032216	0.6252788	1.0110819	1.0140783	0.5302785	0.7976028	0.5684523	1.0012105	0.9472088	1.0380906	0.3260499	1.0249411	1.0070216	0.9291174	0.4871409	0.6301221	1.0395609	0.4445985	0.9764581	1.0088372	0.2168856	0.6905727	1.0686111	1.1152316	1.0814924	0.9183035	0.9601221	0.9677608	0.7939838	0.7270487	1.0007682
1.0798522	0.1593919	1.0157341	1.0325368	0.4833952	0.6677256	0.8224746	0.7805267	0.7221203	0.9116466	0.4349448	0.0000000	0.5950247	1.0043562	1.1186822	0.3573585	0.8289341	0.0868145	1.0087095	0.9666497	0.6915565	1.0703881	1.0531054	0.6533488	0.7730463	0.5688245	0.9764304	1.1081084	1.0337959	0.3444405	1.1054928	1.0174249	0.9354918	0.5578972	0.5510881	1.0452063	0.5008063	1.0666254	0.9451701	0.2021334	0.6140114	0.9126037	1.0046978	1.0516338	0.8758336	0.9770248	1.0527738	0.6514112	0.7003131	0.9306556
1.0612134	0.1383645	0.9983454	1.0888562	0.4993431	0.7226132	0.9109406	0.8136105	0.7299863	0.9909084	0.5982843	1.0257082	0.0000000	0.9678368	1.0486562	0.3414997	0.8921665	0.0918776	1.0092934	1.0049067	0.7102153	0.9523858	1.0062018	0.5252363	0.8702100	0.5695672	0.9690979	0.9346338	1.0228883	0.2465718	1.0325939	1.0147977	0.9310258	0.5703485	0.6146762	0.9452003	0.5316022	1.0021153	1.0386843	0.1880033	0.6862080	0.9963978	0.9859285	1.0009522	0.9830378	0.8667545	0.9265513	0.8703663	0.8152644	0.9611317
1.0191008	0.1245003	1.0605518	0.9771216	0.5077894	0.6830562	0.8220334	0.7473858	0.8047107	0.9585117	0.5748796	1.0001672	0.6764665	0.0000000	1.0545676	0.3448186	0.9322783	0.0715587	0.9706879	1.0159897	0.7606339	0.9452126	0.9548768	0.6083538	0.7937555	0.6239419	0.9639372	0.9969333	1.0053964	0.3183690	1.0304871	0.9406433	0.9426515	0.5371061	0.5834057	1.0791753	0.4519837	1.0625593	0.9573946	0.1778174	0.7304396	1.1031811	0.9805854	0.9215229	0.9190408	0.9388450	0.9684436	0.7109599	0.6470346	1.0072005
1.0051704	0.1136370	1.0839806	0.9892320	0.5622528	0.6899618	0.8795723	0.7985300	0.8834083	1.0417741	0.4983404	0.9752800	0.6280908	1.0172891	0.0000000	0.3038026	0.9925272	0.0698597	1.0137066	1.0507638	0.6759261	1.0014846	1.0560807	0.5610783	0.8354801	0.5546043	0.9445756	1.0500639	0.9942562	0.2614303	0.9600372	0.9740332	1.0724172	0.5711100	0.6715161	1.0137444	0.4886384	0.9859788	0.9092549	0.1768013	0.7310040	0.9453527	1.0072724	1.0305151	1.0453067	0.9222055	0.9722752	0.7964281	0.8093730	0.9464017
1.0624909	0.1956978	0.9371678	0.9685635	0.5447383	0.7360050	0.7959627	0.8789513	0.8397935	0.9735096	0.5721902	1.0264248	0.7160124	1.0298195	1.0015320	0.0000000	0.9716049	0.0637578	0.9332003	1.0435703	0.7695429	0.9567622	1.0089126	0.5976257	0.8134953	0.5841103	0.9746745	1.0344906	0.8938908	0.3191567	1.0013460	0.9995033	1.0658225	0.5741206	0.5947982	1.0351295	0.5289517	0.9311236	1.0124602	0.2128728	0.6544765	0.9936803	1.0755735	1.0160791	0.8526714	0.8767361	0.8943446	0.7851367	0.7424513	0.9524016
1.1125453	0.1616220	1.0650452	0.9825800	0.4800923	0.7840364	0.8529813	0.8197911	0.7340207	1.1002339	0.4754108	0.9646062	0.6564425	1.0491480	0.9874228	0.3427443	0.0000000	0.0708344	0.9988415	1.0259219	0.6551392	1.0306378	1.0225742	0.5565621	0.7092600	0.6364922	1.0458573	0.9551968	0.9003470	0.3307499	0.9305841	0.9859296	0.9488494	0.5789381	0.6071119	0.9956100	0.4941889	1.0056576	1.1162732	0.1902818	0.6321964	1.0156656	0.9619000	1.0770166	1.0339350	0.8980460	0.9498981	0.7916693	0.6578640	1.0510287
1.0175330	0.1339554	1.0114484	0.9928645	0.5151229	0.7362357	0.8512034	0.9128217	0.7647004	1.0482321	0.5220351	0.9294930	0.7401010	1.1229483	1.0814787	0.2634596	0.9667124	0.0000000	1.0377973	1.0275249	0.6861949	0.9943404	1.0087093	0.5944367	0.7771257	0.6008576	1.0845938	1.0267037	0.9687093	0.2743725	1.0395753	1.0905112	0.9763425	0.5777841	0.5842632	1.0479289	0.5181084	0.9932035	0.9637799	0.1780051	0.6986308	0.9219785	0.9626190	1.0233173	0.9234113	0.8583483	1.0272870	0.8463643	0.7211839	1.0514297
1.0711244	0.0881154	1.1325384	1.0397206	0.5356142	0.7357962	0.9079545	0.8753524	0.8052299	1.0218012	0.6361404	0.9629504	0.6855504	1.0174216	1.0436846	0.2677847	0.8303071	0.0829077	0.0000000	1.0192743	0.7922936	1.0199522	1.0795004	0.4723182	0.8000908	0.6419095	0.9556060	0.9997902	0.9067660	0.2440081	1.0534445	0.9112799	0.9374630	0.6169250	0.6821055	0.9117363	0.4427033	1.0042446	1.0446193	0.1316738	0.7184335	0.9867612	0.9985259	0.9840016	0.9497536	0.9500589	1.0194518	0.9123422	0.8094603	0.9684888
1.0319446	0.1395226	1.0442234	1.0553016	0.5204566	0.6728947	0.8048473	0.8339872	0.8288249	1.0575012	0.5540456	0.9350942	0.6236804	1.0110013	1.0120758	0.3033727	0.8937692	0.0851849	1.0154048	0.0000000	0.6270287	0.9692812	1.1057428	0.5392103	0.8120273	0.5641984	1.1054772	0.9249855	1.0129978	0.2673969	0.9915379	0.9473659	1.0542207	0.4982161	0.6495092	0.9938521	0.5337568	0.9932404	1.0010196	0.1871648	0.7074392	0.9720333	1.0159914	1.0178598	1.0204836	0.9191033	0.9447411	0.7599540	0.6639095	1.0151770
