pepA	azuC	crp	melR	prpR	rhaS	mtlR	zraR	fucR	ascG	lsrD	tnaA	mtlA	fucI	hofB	trxA	yhfA	malY	kbaZ	malK	cyaR	dadX	prpE	mtlD	agp	lsrC	araA	rhaD	entD	xseA	ykgR	glgA	hofC	fiu	modA	cirA	htpG	dksA	modC	gdhA	sfsA	zraP	dsdA	zraS	fbaA	agaV	fucA	glgS	fucU	glpE
1.0000000	0.5873687	0.6721135	0.8737838	0.9012356	0.7670489	0.5911513	0.5655459	0.7900149	0.3037110	0.2289195	0.9696708	0.5777379	0.9996608	0.9998847	0.4214784	0.7335736	0.0574748	0.9270925	0.9652141	0.4588949	0.9562688	0.9407251	0.7335618	0.5821269	0.4449176	0.9281867	0.9998957	0.9677615	0.6500733	0.9218124	0.9441573	0.8969430	0.3140130	0.4023569	0.9989445	0.9584479	0.8433957	0.9981677	0.4730702	0.6615144	0.9167299	0.9981606	0.9512045	0.8192114	0.8898659	0.8677820	0.3152040	0.5261358	0.9915484
0.7022820	0.1289023	1.0000000	0.8871287	0.4060084	0.6701535	0.8705028	0.8308699	0.6989374	0.8400496	0.5055211	0.9837329	0.5477306	0.9863723	0.9997091	0.3098136	0.8150529	0.0527298	0.9853359	0.9965098	0.7417279	0.9708933	0.9430670	0.6040247	0.8188697	0.8003092	0.9774697	0.9999403	0.9468403	0.2895134	0.9285399	0.9709074	0.9676818	0.5822873	0.6248704	0.9845253	0.6092483	0.9921383	0.9997418	0.1601315	0.5745307	0.9999704	0.9997138	0.9979944	0.9013087	0.8581411	0.9990792	0.7495402	0.6939446	0.9978120
1.0000000	0.5327074	0.6692625	0.9599072	0.4939783	0.6102112	0.5879835	0.6605681	0.5848029	0.7494281	0.4031328	0.9725842	0.9086974	0.9855620	0.9993423	0.4227596	0.7576080	0.1534091	0.9263707	0.9646566	0.5827623	0.9559079	0.9875187	0.6250538	0.6018987	0.7233967	0.9484728	0.9997261	0.9522026	0.6972215	0.9463806	0.9438969	0.8159811	0.3118565	0.4003194	0.9990492	0.6727182	0.8569708	0.9977519	0.3839386	0.3712544	0.9999200	0.9720403	0.9988830	0.7380937	0.9309401	0.8856749	0.3096901	0.4451668	0.9841446
1.0000000	0.8453115	0.5255794	0.9616985	0.5502764	0.4951615	0.4013006	0.5283884	0.5046376	0.8524909	0.1212505	0.9531289	0.8568068	0.9837145	0.9560669	0.4032949	0.6495895	0.2646721	0.9018494	0.9195524	0.2876360	0.9169882	0.9048174	0.4997641	0.4421136	0.3847347	0.8923323	0.9213827	0.9134654	0.8707876	0.8119746	0.9439258	0.7325776	0.2921500	0.2917410	0.9982529	0.6002102	0.6387523	0.9982576	0.6067997	0.4790205	0.9330785	0.9935904	0.9447275	0.5987204	0.5773955	0.9911492	0.2636456	0.2273057	0.9824249
0.7453204	0.6101611	0.6604865	0.9004058	0.0967804	0.5600950	0.5901960	0.6633391	0.6167774	1.0000000	0.2194741	0.9412933	0.9092813	0.9991187	0.9566751	0.4121003	0.8427356	0.1579708	0.9240811	0.9722514	0.5052392	0.9867730	0.8006218	0.5848591	0.5724340	0.4405888	0.9477423	0.9226714	0.9278541	0.7092965	0.9365790	0.9706101	0.8112717	0.4371462	0.4056956	0.9837519	0.4959789	0.8553442	0.9628187	0.4587619	0.5417055	0.9168543	0.9977014	0.9592785	0.8293701	0.8066002	0.8650773	0.4259931	0.5323882	0.9835268
1.0000000	0.2455838	0.8796504	0.9919814	0.4867536	0.6377230	0.8732768	0.6974563	0.7778231	0.7801321	0.4070274	0.9514322	0.9024370	0.9864120	0.9571188	0.2559517	0.8571560	0.0885783	0.9687819	0.9932959	0.7105612	0.9952833	0.9419492	0.4633865	0.7948450	0.5584518	0.9718129	0.9998857	0.9625549	0.4196382	0.9633442	0.9576437	0.9374651	0.4634813	0.5740998	0.9843743	0.6270572	0.9186877	0.9990445	0.2267846	0.6615566	0.9168798	0.9995383	0.9953170	0.8717734	0.8240634	0.9995503	0.7002107	0.6899930	0.9966801
1.0000000	0.1092752	1.0000000	0.8871287	0.6916104	0.6701535	0.8774756	0.8343809	0.6989374	0.8535309	0.5055211	0.9860620	0.7791506	0.9863723	0.9572444	0.3098136	0.8150529	0.0723697	0.9784456	0.9969261	0.7337848	0.9885493	0.9990450	0.4803505	0.7714573	0.6782490	0.9666747	0.9231375	0.9474109	0.3055172	0.9285399	0.9623342	0.9064601	0.7110737	0.5974655	0.9997723	0.5991937	0.9900165	0.9997857	0.1563960	0.6500406	0.9999744	0.9998134	0.9589680	0.8860819	0.9591274	0.8751279	0.7240884	0.6939446	0.9977335
0.8898671	0.1272801	0.9484548	0.9943103	0.2566358	0.6569719	0.8085389	0.7281943	0.6856405	0.6824715	0.4644808	0.9829024	0.8383914	0.9863241	0.9998212	0.3235768	0.8723002	0.0206360	0.9765457	0.9954829	0.5827822	0.9978660	0.9931856	0.6464356	0.8063844	0.5307114	0.9769873	0.9999330	0.9448453	0.2473360	0.9242550	0.9605114	0.9523293	0.5940662	0.6442326	0.9997081	0.5512514	0.9779120	0.9644036	0.2202373	0.7441921	0.9168954	0.9997398	0.9578217	0.8723857	0.8452190	0.9735409	0.6937934	0.6740115	0.9928523
0.3832429	0.1998167	0.9329448	0.8858220	0.1468345	0.7272783	0.7929920	0.7217313	0.8106750	1.0000000	0.6916008	0.9806293	0.5336421	0.9864633	0.9996873	0.2301424	0.8976001	0.0803079	0.9648224	0.9971379	0.6566806	0.9863631	0.9835486	0.8340297	0.7437724	0.5266840	0.9733026	0.9999652	0.9442025	0.2696454	0.9785360	0.9599200	0.8967525	0.6269836	0.5640078	0.9995945	0.4959789	0.9251556	0.9992212	0.1426096	0.7027384	0.9999430	0.9738080	0.9576613	0.9084726	0.8409154	0.8745591	0.6624119	0.7467190	0.9926549
0.6974066	0.1995778	0.8619011	0.8839154	0.6629810	0.6324053	0.7531857	0.7296695	0.6601357	0.5456633	0.3917094	0.9802418	0.5754266	0.9996935	0.9994987	0.3494251	0.7858272	0.0490876	0.9583781	0.9937144	0.6929172	0.9981142	0.9501521	0.7258944	0.7090570	0.7420717	0.9821296	0.9230671	0.9409459	0.3271472	0.9632372	0.9742131	0.8831037	0.4515165	0.5249402	0.9955769	0.8300763	0.9159118	0.9990577	0.2779329	0.6192865	0.9999441	0.9994160	0.9572794	0.8851492	0.8176975	0.8716981	0.6988040	0.6287981	0.9958011
1.0000000	0.1500965	1.0000000	0.9946526	0.0022355	0.6701533	0.8821115	0.8192935	0.7891296	1.0000000	0.5717496	0.9548692	0.8325521	0.9998572	0.9996972	0.3098136	0.8992130	0.0200729	0.9694307	0.9978839	0.6458104	0.9979404	0.0993312	0.6885062	0.7714569	0.6852588	0.9809130	0.9999362	0.9468403	0.2104432	0.9285375	0.9623327	0.9064563	0.5938457	0.8193288	0.9998418	0.4959789	0.9305136	0.9645141	0.1931430	0.6562751	0.9698993	0.9739345	0.9938089	0.9125171	0.9265880	0.9997338	0.8024795	0.7341725	0.9934103
1.0000000	0.1278526	1.0000000	0.9123073	0.1774097	0.6701593	0.8559986	0.8246783	0.7903347	1.0000000	0.5434902	0.9686780	0.8154699	0.9864698	0.9998136	0.2811908	0.8150583	0.0723697	0.9866697	0.9881298	0.6116781	0.9708943	0.9677090	0.4931880	0.7714691	0.5930498	0.9905704	0.9999574	0.9677243	0.3055172	0.9764588	0.9804705	0.9065331	0.5389160	0.5974684	0.9845261	0.4874482	0.9305328	0.9994012	0.1931430	0.5536580	0.9169869	0.9996680	0.9589163	0.8860931	0.9170997	0.9995683	0.8099739	0.7346353	0.9934133
0.9124668	0.3808894	0.7374606	0.8784950	0.5301867	0.6004498	0.7335886	0.6849951	0.7057161	1.0000000	0.5946190	0.9456477	0.9459355	0.9861918	0.9995790	0.3938710	0.7494485	0.1243909	0.9411208	0.9850354	0.4362081	0.9962706	0.9376059	0.6510782	0.6750618	0.5554348	0.9406696	0.9229187	0.9603295	0.4982594	0.9609013	0.9494505	0.8466729	0.5615887	0.4475650	0.9992889	0.4040098	0.8812378	0.9985103	0.3942610	0.5444922	0.9999243	0.9991726	0.9958872	0.7837480	0.7600403	0.9994581	0.6183749	0.5683323	0.9878379
1.0000000	0.1500965	1.0000000	0.9703429	0.7101638	0.6701535	0.9202766	0.7479990	0.6989374	0.6672673	0.5534123	0.9548696	0.8483015	0.9863723	0.9997115	0.2525344	0.8150529	0.0275613	0.9694312	0.9962935	0.7248986	0.9708933	0.9990142	0.5600533	0.8104812	0.5437355	0.9666747	0.9231375	0.9468403	0.2767824	0.9777049	0.9820173	0.9064601	0.5389159	0.6605986	0.9997047	0.5778452	0.9891363	0.9994400	0.1197545	0.5536471	0.9999890	0.9997000	0.9582905	0.9045175	0.9111392	0.9786967	0.8692739	0.6939446	0.9934104
0.9845084	0.0815630	0.9677957	0.8865442	0.4529020	0.6620348	0.8093176	0.8200713	0.6907781	0.6923535	0.5136012	0.9540466	0.1210063	0.9998262	0.9572156	0.3182813	0.8965234	0.0269712	0.9673582	0.9959802	0.5987160	0.9979388	0.9982385	0.6631576	0.7586928	0.7211771	0.9647128	0.9999328	0.9456193	0.2456332	0.9259583	0.9807319	0.9558514	0.6194012	0.6028319	0.9997440	0.6414252	0.9880578	0.9994618	0.2095053	0.6786026	0.9999683	0.9738793	0.9979239	0.9110516	0.9109406	0.8744148	0.6960974	0.6819913	0.9930790
1.0000000	0.5048446	0.7147402	0.9875593	0.6187581	0.5820598	0.6358236	0.5982869	0.9001526	0.7275541	0.3886349	0.9765346	0.7313683	0.9864453	0.9568255	0.3319347	0.9014817	0.1328985	0.9367544	0.9826941	0.4178044	0.9906971	0.9385105	0.5389363	0.6900376	0.4688635	0.9500604	0.9996894	0.9775240	0.6335347	0.8886626	0.9704400	0.8375329	0.3461101	0.6914618	0.9993316	0.6339714	0.8740439	0.9633281	0.3788783	0.3958450	0.9998647	0.9987974	0.9932516	0.7895300	0.8758826	0.9998200	0.5096885	0.6785950	0.9867964
0.4661557	0.4476733	0.7458208	0.9167072	0.7743779	0.5937368	0.8827922	0.8284122	0.7100796	0.8119607	0.5546356	0.9832674	0.7094756	0.9996095	0.9993846	0.3905716	0.7522818	0.0677763	0.9671808	0.9879216	0.5325529	0.9902651	0.9419092	0.4183360	0.7594653	0.4708684	0.9420055	0.9998130	0.9602982	0.5237605	0.9431648	0.9500429	0.8498028	0.4387364	0.4531241	0.9995805	0.6305888	0.8847782	0.9987447	0.3850676	0.4160787	0.9169251	0.9729240	0.9575085	0.7886211	0.7647783	0.9535257	0.4886373	0.6403092	0.9926818
0.8809655	0.2869787	0.8506850	0.8835590	0.3648465	0.6289915	0.8149211	0.7996285	0.7371806	1.0000000	0.5801706	0.9790797	0.9651963	0.9863455	0.9995307	0.3530374	0.7830115	0.0939933	0.9664708	0.9926862	0.7327520	0.9952902	0.9931967	0.5351583	0.7462176	0.5188331	0.9677157	0.9490359	0.9601979	0.4530590	0.9589525	0.9562570	0.8806031	0.4439178	0.5184822	0.9996178	0.4236060	0.9734531	0.9640969	0.2866307	0.6040608	0.9169202	0.9993542	0.9965369	0.8391214	0.8135346	0.9993420	0.5682851	0.6598671	0.9954649
1.0000000	0.1500965	1.0000000	0.9181429	0.5755020	0.6701552	0.8927386	0.7479994	0.6990328	1.0000000	0.5055215	0.9548729	0.3997365	0.9863732	0.9572516	0.2466601	0.8150542	0.0723697	0.9694345	0.9964422	0.7312448	0.9708935	0.9444308	0.5778187	0.7895750	0.5770093	0.9666908	0.9231376	0.9734790	0.3055172	0.9729303	0.9623428	0.9611487	0.5389159	0.6156670	0.9998220	0.4959790	0.9857019	0.9645500	0.1931430	0.5536497	0.9999651	0.9739512	0.9970963	0.8860855	0.8779562	0.8751634	0.8387909	0.6943367	0.9977812
0.6395366	0.1395955	1.0000000	0.8871510	0.3533060	0.6701552	0.8228653	0.8885594	0.8456419	1.0000000	0.5769020	0.9548729	0.7097500	0.9998995	0.9572516	0.2236113	0.8886340	0.0723697	0.9694345	0.9881237	0.6463871	0.9980182	0.9422700	0.6744379	0.7714610	0.5437529	0.9666908	0.9231376	0.9468405	0.3055172	0.9778732	0.9623428	0.9636491	0.5389159	0.8354886	0.9845255	0.4011774	0.9915051	0.9993762	0.1235548	0.7164622	0.9169568	0.9997593	0.9981727	0.8860855	0.8581589	0.9998580	0.7240889	0.7849003	0.9978079
0.8237686	0.1500965	1.0000000	0.8875024	0.7045895	0.7406378	0.8228626	0.7479991	0.8254790	1.0000000	0.5055212	0.9828436	0.6610848	0.9998879	0.9729284	0.2614029	0.8150532	0.0216995	0.9891783	0.9969609	0.6116763	0.9708933	0.9685595	0.5134566	0.8269002	0.6909192	0.9792312	0.9231552	0.9738670	0.1621384	0.9285439	0.9623367	0.9064669	0.5648780	0.5974657	0.9845253	0.4959789	0.9305154	0.9995198	0.1516551	0.7793377	0.9673544	0.9998073	0.9582916	0.8860828	0.8581458	0.9799833	0.7240885	0.7717685	0.9977702
1.0000000	0.0923679	1.0000000	0.8871345	0.4384016	0.6701539	0.8228626	0.9532747	0.8397246	1.0000000	0.5055212	0.9827572	0.8892738	0.9865020	0.9996466	0.3098136	0.9285414	0.0239366	0.9694321	0.9962847	0.6501250	0.9708933	0.9975648	0.5134566	0.8293666	0.5977370	0.9666796	0.9231376	0.9692085	0.3055172	0.9813116	0.9623367	0.9064669	0.5713807	0.5974657	0.9997693	0.3602000	0.9305154	0.9993707	0.1931430	0.7216507	0.9999829	0.9739407	0.9983470	0.9311572	0.9436907	0.9999145	0.7240885	0.7526982	0.9934106
0.9013336	0.2533095	0.8790173	0.8844347	0.1649269	0.6375364	0.8094359	0.7963156	0.7173318	1.0000000	0.5628562	0.9514112	0.6043330	0.9863332	0.9995045	0.2775322	0.7899988	0.0293517	0.9715326	0.9847688	0.5396177	0.9964367	0.9194545	0.5006383	0.7320100	0.6755971	0.9699753	0.9230798	0.9659216	0.4203446	0.9647789	0.9674877	0.8867791	0.6661522	0.5347092	0.9995148	0.4959789	0.9880164	0.9991817	0.2587290	0.5846578	0.9999696	0.9996703	0.9978893	0.8499009	0.8238445	0.9947483	0.6029660	0.6645480	0.9967113
1.0000000	0.1500965	1.0000000	0.8871345	0.1582294	0.7620282	0.8228626	0.8590950	0.8172516	0.9801790	0.5055212	0.9884074	0.5106343	0.9864880	0.9572462	0.1153542	0.8414638	0.0236737	0.9694321	0.9881213	0.6916208	0.9983058	0.9308353	0.5134566	0.8029752	0.7300057	0.9810951	0.9231593	0.9733969	0.2031034	0.9285439	0.9623367	0.9064669	0.5389159	0.7273397	0.9845253	0.5091545	0.9305154	0.9645284	0.1931430	0.5588812	0.9169378	0.9739407	0.9591260	0.8860828	0.8581458	0.8758923	0.8034663	0.8711740	0.9934106
1.0000000	0.0856500	1.0000000	0.9469866	0.8818036	0.7546809	0.8228626	0.8302680	0.6989670	1.0000000	0.5055212	0.9548704	0.7292269	0.9863725	0.9997010	0.3098136	0.9059126	0.0255885	0.9862431	0.9974287	0.6665084	0.9978108	0.9994615	0.6998099	0.8068456	0.5855405	0.9802608	0.9704780	0.9803097	0.3055172	0.9814940	0.9623367	0.9616621	0.6288556	0.5974657	0.9845253	0.4959789	0.9305154	0.9993603	0.1931430	0.7242957	0.9169323	0.9739407	0.9589415	0.8860828	0.8581458	0.9808188	0.9105877	0.6940713	0.9934106
