pepA	azuC	crp	melR	prpR	rhaS	mtlR	zraR	fucR	ascG	lsrD	tnaA	mtlA	fucI	hofB	trxA	yhfA	malY	kbaZ	malK	cyaR	dadX	prpE	mtlD	agp	lsrC	araA	rhaD	entD	xseA	ykgR	glgA	hofC	fiu	modA	cirA	htpG	dksA	modC	gdhA	sfsA	zraP	dsdA	zraS	fbaA	agaV	fucA	glgS	fucU	glpE
1.0000000	0.5874089	0.6721116	0.8737808	0.9012518	0.7670434	0.5911173	0.5655422	0.7899950	0.3037064	0.2288311	0.9696688	0.5777799	0.9996606	0.9998847	0.4214860	0.7335688	0.0574961	0.9270779	0.9652011	0.4588908	0.9562679	0.9407253	0.7335695	0.5820941	0.4448870	0.9281413	0.9998956	0.9677609	0.6501415	0.9217941	0.9441523	0.8969138	0.3139898	0.4023333	0.9989445	0.9585544	0.8433746	0.9981667	0.4731168	0.6615076	0.9167294	0.9981596	0.9511999	0.8191854	0.8898491	0.8677787	0.3151884	0.5260153	0.9915461
0.7022819	0.1289021	1.0000000	0.8871266	0.4060091	0.6701533	0.8705031	0.8308699	0.6989269	0.8400425	0.5055211	0.9837329	0.5477303	0.9863722	0.9997091	0.3098136	0.8150528	0.0527278	0.9853362	0.9965098	0.7417279	0.9708933	0.9430653	0.6040246	0.8188702	0.8003251	0.9774699	0.9999403	0.9468403	0.2895129	0.9285374	0.9709070	0.9676826	0.5822879	0.6248707	0.9845253	0.6094361	0.9921384	0.9997419	0.1601310	0.5745305	0.9999704	0.9997138	0.9979944	0.9013087	0.8581390	0.9990789	0.7495402	0.6938721	0.9978120
1.0000000	0.5327451	0.6692606	0.9599043	0.4939788	0.6102016	0.5879490	0.6605646	0.5847669	0.7494265	0.4030660	0.9725823	0.9087102	0.9855606	0.9993422	0.4227673	0.7576030	0.1534530	0.9263557	0.9646432	0.5827591	0.9559070	0.9875149	0.6250647	0.6018654	0.7233822	0.9484351	0.9997260	0.9522017	0.6972903	0.9463680	0.9438918	0.8159420	0.3118330	0.4002955	0.9990491	0.6727812	0.8569490	0.9977506	0.3839796	0.3712439	0.9999199	0.9720388	0.9988826	0.7380574	0.9309297	0.8856560	0.3096744	0.4449209	0.9841414
1.0000000	0.8453181	0.5255791	0.9616970	0.5502764	0.4951589	0.4012912	0.5283875	0.5046236	0.8524908	0.1212324	0.9531282	0.8568200	0.9837128	0.9560668	0.4032966	0.6495881	0.2646963	0.9018433	0.9195413	0.2876352	0.9169875	0.9048139	0.4997659	0.4421043	0.3847258	0.8923056	0.9213826	0.9134652	0.8707988	0.8119651	0.9439236	0.7325594	0.2921458	0.2917356	0.9982529	0.6002175	0.6387394	0.9982573	0.6068103	0.4790187	0.9330784	0.9935894	0.9447253	0.5987075	0.5773818	0.9911313	0.2636438	0.2272306	0.9824236
0.7453204	0.6102029	0.6604846	0.9004026	0.0967803	0.5600844	0.5901598	0.6633356	0.6167407	1.0000000	0.2193835	0.9412911	0.9092945	0.9991176	0.9566749	0.4121083	0.8427318	0.1580179	0.9240650	0.9722373	0.5052353	0.9867723	0.8005379	0.5848713	0.5723992	0.4405566	0.9477028	0.9226712	0.9278531	0.7093668	0.9365635	0.9706062	0.8112300	0.4371268	0.4056711	0.9837519	0.4959789	0.8553202	0.9628165	0.4588112	0.5416960	0.9168540	0.9977001	0.9592756	0.8293446	0.8065693	0.8650633	0.4259792	0.5321898	0.9835232
1.0000000	0.2456360	0.8796447	0.9919793	0.4867556	0.6377051	0.8732504	0.6974500	0.7777898	0.7801223	0.4068487	0.9514291	0.9024405	0.9864118	0.9571178	0.2559629	0.8571487	0.0886100	0.9687694	0.9932902	0.7105546	0.9952828	0.9419456	0.4633958	0.7948081	0.5584046	0.9717833	0.9998857	0.9625534	0.4197606	0.9633291	0.9576376	0.9374331	0.4634323	0.5740581	0.9843743	0.6273067	0.9186768	0.9990437	0.2268459	0.6615378	0.9168777	0.9995379	0.9953145	0.8717364	0.8240238	0.9995502	0.7001816	0.6898339	0.9966785
1.0000000	0.1092747	1.0000000	0.8871266	0.6916116	0.6701533	0.8774760	0.8343809	0.6989269	0.8535244	0.5055211	0.9860621	0.7791505	0.9863722	0.9572436	0.3098136	0.8150528	0.0723697	0.9784456	0.9969261	0.7337849	0.9885493	0.9990452	0.4803504	0.7714569	0.6782561	0.9666710	0.9231375	0.9474109	0.3055172	0.9285374	0.9623332	0.9064567	0.7110761	0.5974654	0.9997723	0.5993645	0.9900165	0.9997857	0.1563955	0.6500406	0.9999744	0.9998134	0.9589676	0.8860815	0.9591294	0.8751225	0.7240884	0.6938721	0.9977335
0.8898670	0.1272920	0.9484524	0.9943097	0.2566408	0.6569648	0.8085234	0.7281920	0.6856151	0.6824573	0.4644073	0.9829016	0.8383960	0.9863238	0.9998212	0.3235822	0.8722976	0.0206360	0.9765420	0.9954813	0.5827787	0.9978659	0.9931835	0.6464409	0.8063701	0.5306893	0.9769779	0.9999330	0.9448447	0.2473726	0.9242469	0.9605086	0.9523194	0.5940511	0.6442184	0.9997081	0.5515182	0.9779092	0.9643978	0.2202588	0.7441862	0.9168934	0.9997397	0.9578204	0.8723715	0.8452040	0.9735362	0.6937811	0.6738553	0.9928515
0.3832416	0.1998727	0.9329359	0.8858135	0.1468301	0.7272599	0.7929395	0.7217230	0.8106496	1.0000000	0.6915377	0.9806261	0.5336735	0.9864631	0.9996872	0.2301558	0.8975929	0.0803398	0.9648078	0.9971351	0.6566687	0.9863626	0.9834947	0.8340378	0.7437135	0.5266177	0.9732702	0.9999652	0.9442004	0.2697712	0.9785264	0.9599118	0.8967091	0.6269405	0.5639490	0.9995944	0.4959789	0.9251437	0.9992204	0.1426592	0.7027145	0.9999429	0.9738018	0.9576572	0.9084405	0.8408685	0.8745441	0.6623674	0.7466226	0.9926525
0.6974065	0.1995981	0.8618989	0.8839135	0.6629881	0.6323971	0.7531645	0.7296667	0.6601093	0.5456555	0.3916196	0.9802406	0.5754429	0.9996932	0.9994986	0.3494313	0.7858238	0.0491025	0.9583714	0.9937118	0.6929142	0.9981141	0.9501516	0.7259002	0.7090339	0.7420627	0.9821207	0.9230671	0.9409453	0.3271997	0.9632298	0.9742104	0.8830853	0.4514939	0.5249193	0.9955769	0.8303131	0.9159064	0.9990573	0.2779631	0.6192775	0.9999441	0.9994158	0.9572781	0.8851336	0.8176777	0.8716906	0.6987919	0.6286283	0.9958001
