pepA	azuC	crp	melR	prpR	rhaS	mtlR	zraR	fucR	ascG	lsrD	tnaA	mtlA	fucI	hofB	trxA	yhfA	malY	kbaZ	malK	cyaR	dadX	prpE	mtlD	agp	lsrC	araA	rhaD	entD	xseA	ykgR	glgA	hofC	fiu	modA	cirA	htpG	dksA	modC	gdhA	sfsA	zraP	dsdA	zraS	fbaA	agaV	fucA	glgS	fucU	glpE
1.0488426	0.1491831	0.9682753	1.0353410	0.5611058	0.6590131	0.8963680	0.8416519	0.7520350	1.0800363	0.0000000	0.9352350	0.6802828	0.9297858	0.9141520	0.3007365	0.8642457	0.0850465	0.9755756	0.9231454	0.5709223	0.9793037	0.9963928	0.5917990	0.7953903	0.6587230	0.9239034	1.0107446	1.0267050	0.3558700	1.0004078	0.9581516	1.0316744	0.5754035	0.6134005	1.0927009	0.4854552	1.0803344	1.0306960	0.1905430	0.6461310	1.0513349	1.0435807	1.0679310	0.9302340	0.9355263	1.0458076	0.6953639	0.6578797	0.9224873
1.0628844	0.1961345	0.9010935	0.9759593	0.5644484	0.6481211	0.8434834	0.7097030	0.7205572	0.9681980	0.4703834	0.0000000	0.6247896	1.0198556	1.1395510	0.3749241	0.9046749	0.0758544	0.9237979	0.9490713	0.6307555	1.0297525	1.0282385	0.6607522	0.8093101	0.5331387	1.0176632	1.1355983	1.0035729	0.3404237	0.8892601	1.0933796	0.8612856	0.4688031	0.5828676	0.9846480	0.4461219	1.0143580	0.9327391	0.2036814	0.6637690	0.9466337	1.0266391	0.9663573	0.9222541	0.9821915	1.0549822	0.7518220	0.7451915	0.8887871
1.0571676	0.1068676	0.9737223	1.1072425	0.5145912	0.8093635	0.8769448	0.7660230	0.7167690	1.0355790	0.6413776	1.1074282	0.0000000	1.0021722	1.0323824	0.3030747	1.0128728	0.0941450	0.9047762	1.0058180	0.6803557	0.9116253	0.9852441	0.5566873	0.8920129	0.5633050	0.9768668	1.0313947	1.0327019	0.2357266	1.0108404	0.9169742	1.0308696	0.6034186	0.6476286	0.9205693	0.5177125	0.8864828	1.0175215	0.1840093	0.6375991	1.1050278	1.0049468	1.0179693	0.9304936	0.8069643	0.8707925	0.8403698	0.7882469	0.9725647
1.0130358	0.1517408	1.0978521	0.9674511	0.5391433	0.5929990	0.8258056	0.8092074	0.8262292	1.0443359	0.4912555	1.0402775	0.6866598	0.0000000	0.9789146	0.3162784	0.8953636	0.0773361	0.9798017	1.1259611	0.7609463	0.8925968	1.0179970	0.6274369	0.8420696	0.5776727	0.9047671	1.0111271	1.0367572	0.3742500	0.9884910	0.9454670	0.8684567	0.5194054	0.5973247	1.1098684	0.4722454	1.0974262	1.0604090	0.1697110	0.6508074	1.1685383	1.0218171	1.0337799	0.8458152	1.0895014	1.0361907	0.8279081	0.6041608	0.9919320
1.1013805	0.1592632	1.1063996	1.0397830	0.4904303	0.7823788	0.8234550	0.8448073	0.8074093	1.0662039	0.4935227	0.9621289	0.6287010	0.9818845	0.0000000	0.3083300	0.9799769	0.0708553	1.0724756	0.9774174	0.6993423	0.9407770	1.0477659	0.5309959	0.8837181	0.5371423	0.9729093	1.0827288	1.0083733	0.2711100	0.9279215	0.9670924	1.1039985	0.5942824	0.6277873	1.0319684	0.5272954	0.8720129	0.9069202	0.2072869	0.6527815	1.0493341	1.0188081	0.9777603	0.9530955	0.8413671	0.9762531	0.8156731	0.7848776	0.9970099
1.0891717	0.1819170	1.0644988	1.0442062	0.4944707	0.6428704	0.8240035	0.9374121	0.7793894	0.9808381	0.5265150	1.0226529	0.7174876	1.0385340	0.9865110	0.0000000	0.9109561	0.0708615	1.0189544	1.0845161	0.7249827	0.8422285	1.0562412	0.5888107	0.7429813	0.5513910	0.9551227	0.9407658	0.9798821	0.3584248	1.0654014	0.9511070	0.9783262	0.5034243	0.6472002	1.0677722	0.5476926	1.0201552	0.9916207	0.2412787	0.6558337	0.9700176	1.1291343	1.0619615	0.8031635	0.9289727	0.9552558	0.8070049	0.7814975	0.9890201
1.0094268	0.1925719	1.0402004	1.0510364	0.5031084	0.7388315	0.8118605	0.8818439	0.7087770	0.9741451	0.5045317	0.9292686	0.6844440	1.0143483	1.0096736	0.3556062	0.0000000	0.0567134	1.1348448	1.0166424	0.7101161	0.9412252	1.1673488	0.5927709	0.7356626	0.5530965	1.0353235	1.0394392	0.8784617	0.3047668	0.9045630	0.9633550	0.9122442	0.6189077	0.5709490	1.0818620	0.5058481	1.0744453	1.0908758	0.2458944	0.7141242	1.0373668	0.9736708	1.0984755	0.9301460	0.8863689	0.9006472	0.8368368	0.6735236	0.9971793
0.9629744	0.1392510	1.0813611	0.9637215	0.5332404	0.7064435	0.7895375	0.9410530	0.7663163	0.9317295	0.5234794	1.0036158	0.7034553	1.0984649	1.0361501	0.2378363	0.9379762	0.0000000	0.9630500	0.9803853	0.6087719	1.0367076	1.0655188	0.5735999	0.7777230	0.6148208	1.0752463	1.0726097	0.9966748	0.3493205	0.9904833	1.0745917	0.9552673	0.5698936	0.5657506	0.9597200	0.5287794	1.0017766	0.9890051	0.1947268	0.7604109	0.9724290	0.9929064	1.0142668	1.0036283	0.9125776	1.0192476	0.7191558	0.7527046	1.0164535
1.0532714	0.0864636	1.2250941	0.9376173	0.5312485	0.7166104	0.8594045	0.8271666	0.7491452	1.0252019	0.5887054	0.9479922	0.6634168	0.9293068	1.0182167	0.2782332	0.9176386	0.0704798	0.0000000	1.0701436	0.8404591	1.0383577	1.0873201	0.4545667	0.8075094	0.5764960	1.0172232	0.9751131	0.9173773	0.2356960	1.0921650	0.9627116	0.9493404	0.6155005	0.6378267	0.9951188	0.5284620	1.0019898	1.1758748	0.1294146	0.6891042	0.9541216	0.9635484	1.1443944	1.0099141	0.9737636	1.0289123	0.9590889	0.7330767	0.9437910
1.0806957	0.0922542	0.9977437	1.0975831	0.5353573	0.7869818	0.8445571	0.9338253	0.7650739	1.0566138	0.4952686	0.9377186	0.6005176	0.9543109	1.0249706	0.3149432	0.8978936	0.0885531	1.0045090	0.0000000	0.7276808	0.9953916	1.0478838	0.5669382	0.7694044	0.6345369	0.9324519	1.0047235	0.9502097	0.2194109	0.8982031	0.9599194	0.9351877	0.5792739	0.6689854	1.1112127	0.5073250	1.0141286	1.0011388	0.1614008	0.6873158	1.0391683	1.0683738	0.9437922	0.9687272	0.9561237	0.8751424	0.7258490	0.6567060	1.0890174
