pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
1.0000000	0.2432678	0.6371830	0.1246540	0.7231097	0.2912682	0.6347092	0.4578364	0.5750767	0.6551576	0.7547964	0.7127351	0.3063030	0.6334058	0.4793092	0.3121375	0.6841082	0.1449407	0.5924552	0.7313851	0.5986515	0.2216970	0.6671500	0.6068933	0.4835731	0.6252470	0.6621222	0.2930876	0.5216004	0.0921019	0.3980237	0.6504327	0.4512963	0.4601363	0.4676337	0.2923491	0.6204619	0.5077292	0.6228716	0.2783247	0.4693935	0.8545318	0.7039837	0.6399907	0.6085818	0.7002930	0.3928257	0.2439146	0.4374431	0.1063382
0.7120735	0.4262562	0.7342831	0.1950262	0.6090606	0.3255285	0.6970506	0.4025343	0.7021161	0.6891369	0.7118665	0.6587847	0.4706490	0.6493531	0.5907143	0.3954847	0.6254725	0.1164786	0.5930639	0.6287759	0.6222092	0.3740717	0.6240013	0.4374089	0.5243925	0.6528566	0.7376554	0.3049640	0.5168692	0.0559213	0.5935436	0.6290433	0.4895194	0.5829049	0.4295558	0.5071903	0.7180103	0.4291825	0.5828220	0.3662347	0.5128583	0.6590995	0.6619768	0.7191129	0.5536277	0.6037002	0.5146962	0.3281196	0.2191315	0.0784813
0.4435683	0.2702934	0.5156907	0.0981116	0.7145473	0.2624322	0.5846800	0.5740279	0.7094196	0.7440358	0.7763774	0.5753632	0.4621433	0.7139543	0.4335347	0.3329925	0.8308839	0.1514301	0.4520231	0.5661189	0.6964861	0.2693949	0.5847025	0.5892924	0.4908573	0.5487590	0.5393764	0.5420277	0.6107834	0.1242967	0.3734871	0.6340197	0.5542170	0.4712070	0.4543025	0.4086826	0.6471187	0.2868087	0.6256585	0.4019711	0.4475009	0.6553185	0.6442613	0.8086523	0.3694121	0.7278000	0.5731201	0.3211155	0.4023860	0.2563746
0.6114345	0.4288164	0.7288673	0.1401453	0.5547963	0.4548337	0.6367122	0.5795104	0.6659785	0.7941474	0.6882707	0.7535748	0.5204047	0.6792612	0.4913356	0.2685721	0.6197988	0.0816762	0.6552535	0.5885307	0.7754125	0.5168887	0.6615445	0.5581021	0.4144335	0.6165451	0.6270765	0.4381385	0.7726178	0.0745993	0.4044220	0.5473552	0.6219126	0.7302181	0.7429617	0.6659262	0.6538308	0.3719487	0.6401778	0.4810662	0.6806085	0.6296940	0.7147048	0.6607813	0.3035100	0.7086399	0.5040661	0.3230589	0.1976843	0.2299881
0.3924201	0.3785133	0.5459950	0.1823723	0.7352844	0.4408593	0.7190281	0.5072025	0.5605470	0.7096686	0.5426984	0.6496382	0.4314044	0.6286328	0.4097517	0.3779443	0.6616157	0.1125094	0.5270798	0.6088687	0.6815632	0.3581226	0.6698935	0.5742984	0.5230987	0.4789937	0.4399932	0.5310629	0.5199524	0.0794548	0.5709981	0.6274142	0.6241972	0.6453941	0.5168043	0.3585339	0.5927935	0.3603232	0.7158171	0.4886378	0.5889457	0.6943204	0.8038576	0.8222656	0.5659208	0.7162534	0.5322498	0.3133032	0.4139594	0.0642729
0.6863046	0.3123642	0.7680946	0.1039241	0.6084655	0.3653852	0.5550977	0.5416935	0.6389012	0.6222020	0.7350151	0.7791473	0.3877515	0.6692589	0.5180928	0.5431742	0.5795071	0.1337549	0.6451259	0.7046051	0.6138201	0.4314738	0.5859309	0.6475459	0.3654402	0.6066611	0.6045472	0.3518671	0.7968552	0.0821283	0.4808160	0.5741958	0.5675748	0.5584291	0.5897981	0.3894763	0.5864874	0.4648878	0.6806559	0.5802173	0.5118265	0.7471473	0.6867707	0.6997254	0.4932857	0.6780351	0.3863682	0.3374494	0.3330719	0.2373723
0.5433132	0.3671297	0.6803375	0.0983829	0.5431387	0.3083502	0.6999304	0.5945544	0.5944744	0.6293323	0.7021974	0.7206521	0.6053402	0.7146151	0.5556079	0.4211959	0.6064924	0.0962471	0.4453394	0.5556834	0.6771366	0.4543544	0.4813440	0.5108260	0.4250604	0.7014944	0.6389996	0.4038444	0.6599327	0.1455598	0.4004307	0.7320902	0.5835805	0.5150292	0.7475745	0.3564013	0.6724842	0.3992842	0.7123018	0.5098254	0.5333785	0.8017957	0.5612209	0.7265530	0.4138141	0.5698151	0.3957496	0.3101901	0.2467722	0.1973451
0.6828090	0.3645058	0.7590758	0.0914745	0.7387763	0.4184694	0.7520814	0.4724838	0.5609691	0.8142365	0.7161917	0.5588942	0.5681884	0.7549902	0.7150180	0.4878271	0.7660285	0.0455578	0.5715851	0.5631950	0.6992538	0.6045184	0.5594123	0.4717051	0.5834364	0.5621867	0.6854175	0.3627043	0.5981841	0.0247134	0.3728142	0.6970742	0.5508177	0.6501889	0.6939215	0.6106490	0.7317284	0.3001741	0.6937155	0.4370385	0.5538811	0.6373136	0.7008147	0.6287663	0.6448525	0.6335574	0.6190045	0.2393076	0.4468642	0.0659647
0.3279789	0.2840037	0.3237638	0.2240232	0.5804824	0.1836666	0.3897325	0.5632904	0.6010588	0.6272297	0.5907300	0.5996075	0.1708174	0.6389032	0.2824929	0.2040237	0.5937272	0.2983028	0.4864187	0.5145428	0.6740654	0.0280482	0.4697838	0.4622064	0.4476113	0.4389383	0.2405734	0.4081015	0.4793205	0.0665465	0.1439076	0.4472536	0.4711709	0.3363982	0.3805759	0.1768117	0.7543423	0.2442994	0.6691433	0.1671927	0.2431106	0.7068807	0.7591299	0.7590831	0.3454040	0.7142613	0.6421886	0.3206850	0.3759394	0.1636473
0.7645404	0.4634528	0.5669737	0.1211469	0.5987606	0.5370572	0.7797371	0.5384127	0.6722865	0.5434441	0.6851980	0.7073255	0.6021946	0.6963851	0.5492380	0.2615090	0.5873189	0.1006722	0.6195637	0.5648344	0.7347770	0.3008229	0.6846365	0.6816725	0.5322727	0.5848236	0.7242355	0.3569780	0.4099303	0.0302008	0.3442950	0.6633013	0.5682250	0.7276158	0.5220560	0.4285435	0.6786593	0.3287470	0.6742297	0.5057945	0.5870798	0.6433318	0.8058009	0.7950140	0.4486205	0.5678025	0.4216013	0.3924399	0.4214187	0.1715461
0.5683571	0.3952814	0.5949530	0.1594638	0.6700811	0.3019975	0.6543968	0.5225345	0.6981215	0.6966268	0.6973051	0.6036122	0.3614880	0.7343865	0.4495418	0.3813431	0.6181778	0.1466225	0.6063154	0.7202042	0.6602858	0.3485060	0.6975814	0.5130336	0.4454751	0.6417665	0.4983997	0.3340572	0.6084999	0.1051749	0.3998848	0.6642662	0.7635528	0.4633736	0.5749798	0.3318533	0.7534941	0.2728692	0.5686128	0.3213292	0.3406019	0.7712084	0.5444545	0.6378449	0.3752170	0.7682368	0.4963196	0.2338139	0.3724587	0.1375912
0.5681700	0.3085224	0.4514966	0.1945797	0.6215580	0.3205503	0.7220804	0.2983763	0.6663704	0.7288267	0.6384581	0.6761525	0.3040552	0.8095086	0.6751632	0.1828614	0.6174741	0.2141897	0.5886677	0.8224192	0.7211003	0.1348633	0.6101616	0.6988128	0.4486928	0.5566838	0.6976746	0.2822892	0.5460456	0.0992355	0.4928550	0.6505338	0.5969955	0.5099786	0.3220658	0.3116416	0.6390110	0.3581228	0.6700277	0.2227988	0.3859199	0.6728213	0.6426527	0.6693026	0.4136124	0.6226353	0.4884206	0.2660584	0.3761580	0.2061077
0.5696580	0.3683626	0.5481628	0.1438005	0.7742375	0.4567954	0.4991506	0.4103091	0.5444636	0.6611257	0.6820336	0.6060722	0.4023117	0.6302321	0.5191679	0.2652352	0.6829646	0.0491901	0.6939476	0.7394006	0.7356037	0.4631905	0.5597559	0.4421692	0.5886620	0.7325532	0.6062459	0.3837264	0.7892515	0.0419126	0.4179477	0.7076148	0.6674308	0.5919385	0.5278729	0.4494467	0.6548302	0.3186834	0.5963974	0.4423328	0.4062470	0.8202852	0.6640719	0.7253268	0.5928371	0.6223730	0.5271293	0.1811499	0.3506189	0.2004814
