pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.7409661	0.3654426	0.7306148	0.1244927	0.5217724	0.3799395	0.6272004	0.6610705	0.6553231	0.8150513	0.0000000	0.5243830	0.5149800	0.6953821	0.6673758	0.4497333	0.6726396	0.0581923	0.7075396	0.7952014	0.6957486	0.5223728	0.5291593	0.7327500	0.5014684	0.6002063	0.6328895	0.4064561	0.5603323	0.0778632	0.4267303	0.7455225	0.7754881	0.7023159	0.6237324	0.5032729	0.7268421	0.3841933	0.8250337	0.4139904	0.4599060	0.6809625	0.8447331	0.7334389	0.4213297	0.7397132	0.4864019	0.2975159	0.3595749	0.1218737
0.6373664	0.4106248	0.6576064	0.1631765	0.7053723	0.3006004	0.6088966	0.4169125	0.7419300	0.6579068	0.6359522	0.0000000	0.4173988	0.7881407	0.6596212	0.3424326	0.7229806	0.1492851	0.6483529	0.7114699	0.8494717	0.4351024	0.6917244	0.5257203	0.5478913	0.6579268	0.6517325	0.4516846	0.7141419	0.0431290	0.4240127	0.6660913	0.5941619	0.5473214	0.6131467	0.4017040	0.7780858	0.4131022	0.6705468	0.3900353	0.5701897	0.7085111	0.8404179	0.6476745	0.4069776	0.6985110	0.5274977	0.3075466	0.4217002	0.1809192
0.7026736	0.4399410	0.7138494	0.1400398	0.8627523	0.3777518	0.7728253	0.4556388	0.8668751	0.6943406	0.6875728	0.5498777	0.0000000	0.7004966	0.4747403	0.4915050	0.6632307	0.0651388	0.7236151	0.7452049	0.6941383	0.3837985	0.5807927	0.5918155	0.5084290	0.7362233	0.6287719	0.4685644	0.7199518	0.1272597	0.4643599	0.8042328	0.6910133	0.5235115	0.5973814	0.4026424	0.6778761	0.4070814	0.6295166	0.4016744	0.7567468	0.6545220	0.6380011	0.7468410	0.3887432	0.6962428	0.5814239	0.2762862	0.5014231	0.2378808
0.7124109	0.3982944	0.7053309	0.1489274	0.6751088	0.4364344	0.6823088	0.4934244	0.6062927	0.6735448	0.6497156	0.7562960	0.4996947	0.0000000	0.6256873	0.5032107	0.7552615	0.0768208	0.6130651	0.7537107	0.6926902	0.3227451	0.5914154	0.5174073	0.4534181	0.5927827	0.5930631	0.3649585	0.6459063	0.0591169	0.4042632	0.7295071	0.7737155	0.4676249	0.6331533	0.5052552	0.7773776	0.3959218	0.6348983	0.3526235	0.5510703	0.7906005	0.8600793	0.6607555	0.4438322	0.7740911	0.5147720	0.3019559	0.4692408	0.2089227
0.6656126	0.3366869	0.5747887	0.1543225	0.6884733	0.4324940	0.5827072	0.5408703	0.6449665	0.6508330	0.6744359	0.6514806	0.4321271	0.6762114	0.0000000	0.4151242	0.7488909	0.0656919	0.7273604	0.8930232	0.6802888	0.3327728	0.7411481	0.5095127	0.4615909	0.5993716	0.5341612	0.3646305	0.6054416	0.0871185	0.4245899	0.7372905	0.6127359	0.5653027	0.5899696	0.5573174	0.7469766	0.4647661	0.8260925	0.3241050	0.4589533	0.7582318	0.7184367	0.5585855	0.4579147	0.5471127	0.5032713	0.3580521	0.3721594	0.2513752
0.7145962	0.3893800	0.6615118	0.0598085	0.7215612	0.4024091	0.6892155	0.5091354	0.7287107	0.5889020	0.6587133	0.6424619	0.5624245	0.8247242	0.7061991	0.0000000	0.6788525	0.0973684	0.6562037	0.6734968	0.7097603	0.4923740	0.7790272	0.5028902	0.4740709	0.5096661	0.7189916	0.2887159	0.6248000	0.1023789	0.4718379	0.7066318	0.4355075	0.6615942	0.4392791	0.4340531	0.6384791	0.4268593	0.7230700	0.5120498	0.4979920	0.6202853	0.6451630	0.7198372	0.6516116	0.7071381	0.4832889	0.1953493	0.3650466	0.1948138
0.7661578	0.3998809	0.6796536	0.1944051	0.7385065	0.3880038	0.6523773	0.5237141	0.6782865	0.7075292	0.6198427	0.6722815	0.4942226	0.6791372	0.5466750	0.4515639	0.0000000	0.0853194	0.5897749	0.6355976	0.6614974	0.5299229	0.6971645	0.6010195	0.4946648	0.5335308	0.7275161	0.4162463	0.7761273	0.0484440	0.4064379	0.6188151	0.6372639	0.6352165	0.4683493	0.4847569	0.5998484	0.5641636	0.5466976	0.4931428	0.4942867	0.7192415	0.8618888	0.7835206	0.4969486	0.7738314	0.5800121	0.2931109	0.4082143	0.2222464
0.7388009	0.3668693	0.5743071	0.1910568	0.5802731	0.3328457	0.6292822	0.5350745	0.6763906	0.6957122	0.7766963	0.6028058	0.4260616	0.7222992	0.5659001	0.4508581	0.6794656	0.0000000	0.6636971	0.7405300	0.7682433	0.4093776	0.6598300	0.6559393	0.4839059	0.7098373	0.7086554	0.3851180	0.6597077	0.0412932	0.3853585	0.6519680	0.6344942	0.4614676	0.6129242	0.4908003	0.6106028	0.4490223	0.6570764	0.4365097	0.5876092	0.7423273	0.6745391	0.6654640	0.4472781	0.7480808	0.5010929	0.2600082	0.3552867	0.2490825
0.6902133	0.3048612	0.6794830	0.1377252	0.7338725	0.3911609	0.7644187	0.4335952	0.6783680	0.6459951	0.7001428	0.6535099	0.4568645	0.7279167	0.5122530	0.3538089	0.6884661	0.1346623	0.0000000	0.6532801	0.7979710	0.3345448	0.6501031	0.5091860	0.4758661	0.6406577	0.6305834	0.3686515	0.6635200	0.1038227	0.3112732	0.8157418	0.7529388	0.5829744	0.4981157	0.4251084	0.7329972	0.2532126	0.6643457	0.3974778	0.4687829	0.7554199	0.7182760	0.8062232	0.4341683	0.7943983	0.5134579	0.2251932	0.3389045	0.2075783
0.6937295	0.4190269	0.8229580	0.1824688	0.7200977	0.4483722	0.6557350	0.3826065	0.6757857	0.6810233	0.6524920	0.5620410	0.5156632	0.6839448	0.7323553	0.5181922	0.7063898	0.1214329	0.6820290	0.0000000	0.6955447	0.4395725	0.5317284	0.7305235	0.5418709	0.6862371	0.6970059	0.4151371	0.6684449	0.0549385	0.4295335	0.7284522	0.7120326	0.5053639	0.5611258	0.4906747	0.6995064	0.4134525	0.6317005	0.5270113	0.5952484	0.7248838	0.7509970	0.8405761	0.4944030	0.6398133	0.5526664	0.1939470	0.3581947	0.1451734
0.6430541	0.3900342	0.7092205	0.2004211	0.8526336	0.3744740	0.5832949	0.6263563	0.6507552	0.8239543	0.7888853	0.8036828	0.5774105	0.5410684	0.6543708	0.4376355	0.7202480	0.0844816	0.6685531	0.6358818	0.0000000	0.5280854	0.6760553	0.5281971	0.4512784	0.7691725	0.7276874	0.4880722	0.6134664	0.1024719	0.5225449	0.6744132	0.6189648	0.5925385	0.5729858	0.5909835	0.7410220	0.3999894	0.7386726	0.3904755	0.5118682	0.6413087	0.5821190	0.6891287	0.5107585	0.6421674	0.6077898	0.2719377	0.3714254	0.2612798
0.7833634	0.3219909	0.7174930	0.1519492	0.6745653	0.3835833	0.6822229	0.4480198	0.7426178	0.7518733	0.6346159	0.6519319	0.4932596	0.8062881	0.3988912	0.4493137	0.7695785	0.1397265	0.6434473	0.6283478	0.8107728	0.0000000	0.7210870	0.6030679	0.3960904	0.5633984	0.6777171	0.4136950	0.6683449	0.0602817	0.5196312	0.5495665	0.5586601	0.5842463	0.5823057	0.6848175	0.7174025	0.4362029	0.6930782	0.4619622	0.4999327	0.7325586	0.6968074	0.7115253	0.4369573	0.8194514	0.5859999	0.2507365	0.5521362	0.1937719
0.5160771	0.3989934	0.7870582	0.1140690	0.5792943	0.3082879	0.5893788	0.5556478	0.7831683	0.7177501	0.7461311	0.6590539	0.5666408	0.7864583	0.5571675	0.4236889	0.7782070	0.0949435	0.6908342	0.6344253	0.5324904	0.4261456	0.0000000	0.5226437	0.4454257	0.6032463	0.5680149	0.4497320	0.6201586	0.0807949	0.5933346	0.9821542	0.6823035	0.6819457	0.6540045	0.5774445	0.7575108	0.4521732	0.7435603	0.4571881	0.7204130	0.6383688	0.6071458	0.7260750	0.4252768	0.5611369	0.5094829	0.2635833	0.4026905	0.1958931
0.6929980	0.3880099	0.7622228	0.1170360	0.8452794	0.2636727	0.6864551	0.4328723	0.6602986	0.7022252	0.6059266	0.7882479	0.4503091	0.6877772	0.5097096	0.3554897	0.6727652	0.1230639	0.6299267	0.5451574	0.6217555	0.4713668	0.5486567	0.0000000	0.5709503	0.8369600	0.6426224	0.3577207	0.7502786	0.0765783	0.4260850	0.7584260	0.5827235	0.5507824	0.7022212	0.3610519	0.6371174	0.2840345	0.6307076	0.4672836	0.5781534	0.6141602	0.6438979	0.6892998	0.5219524	0.6378189	0.5280018	0.1969288	0.4045667	0.1927242
0.5984801	0.5141603	0.6738215	0.1783994	0.6381585	0.4230586	0.6212125	0.5084450	0.6130102	0.6377557	0.6630503	0.6115278	0.4279673	0.6631093	0.6860919	0.4856855	0.6375311	0.0826337	0.6190374	0.6341300	0.6624259	0.4968520	0.6172466	0.4962734	0.0000000	0.6010264	0.5776004	0.4659915	0.7021892	0.0786409	0.4176684	0.6480614	0.7678269	0.6262400	0.7410004	0.6012465	0.7048279	0.4223525	0.6447223	0.4768661	0.5892930	0.5917257	0.7346088	0.7346318	0.4681139	0.7683332	0.3615878	0.2984183	0.3890619	0.1551585
0.6971394	0.4001632	0.8342975	0.1879187	0.6688666	0.3137048	0.7271747	0.5289690	0.7357730	0.6425862	0.6147374	0.6614322	0.4782718	0.7026099	0.7994770	0.4063169	0.6399697	0.0971133	0.7690773	0.6792929	0.7603108	0.4036334	0.6604411	0.5884718	0.6796245	0.0002930	0.7388939	0.4388399	0.7608293	0.0839085	0.5480551	0.6493101	0.6030023	0.5041024	0.5228109	0.4352286	0.5842206	0.4094782	0.7136111	0.3855396	0.5812601	0.7179259	0.7336254	0.6325976	0.4432120	0.6874063	0.4873770	0.2164100	0.5041461	0.2033495
0.6022147	0.3153809	0.6617741	0.1278311	0.8060493	0.3577494	0.5355814	0.4957229	0.7026965	0.6491075	0.6783491	0.5198147	0.5554330	0.6993837	0.6553679	0.5111684	0.7177902	0.1170916	0.6770711	0.7703198	0.6594614	0.4151540	0.6396373	0.5951579	0.5112384	0.7959944	0.0000000	0.3557036	0.6204278	0.1118476	0.4066046	0.6529710	0.4837425	0.4818544	0.5668962	0.4768471	0.7357033	0.3718521	0.8143111	0.5022172	0.4561529	0.6044402	0.8164887	0.6850954	0.4666310	0.7919573	0.6095833	0.2036763	0.3810607	0.1836827
0.7077562	0.4160990	0.5333751	0.0994794	0.7175820	0.3759111	0.6897664	0.3871853	0.7762954	0.5897164	0.6649985	0.6400275	0.4229888	0.8326311	0.6605956	0.4300617	0.7138468	0.1282121	0.7729895	0.7504045	0.5690517	0.2703990	0.5790281	0.5735535	0.5155094	0.7973909	0.8043757	0.0000000	0.6552668	0.0523988	0.3840442	0.7243829	0.6649193	0.5746179	0.5126728	0.5032751	0.6853938	0.2919739	0.6775511	0.4222475	0.4912421	0.9972484	0.7202510	0.7020494	0.7182771	0.6546952	0.5233056	0.1737509	0.5403238	0.1590353
0.7800649	0.3854267	0.7914889	0.0833093	0.6671013	0.3906346	0.7646529	0.5448492	0.6757181	0.5874789	0.6708671	0.6323431	0.4493255	0.5614549	0.5875806	0.5065146	0.6996577	0.1240805	0.6478290	0.8968627	0.8769443	0.3583329	0.6590815	0.5832182	0.4596521	0.6257006	0.7075649	0.4005702	0.0000000	0.1222038	0.4759968	0.7384740	0.6656380	0.6517360	0.6920103	0.4342122	0.7380847	0.3968515	0.5662672	0.4666288	0.6850345	0.6474591	0.5519425	0.6699106	0.4584220	0.6098475	0.4897716	0.2403228	0.3578934	0.2110938
0.7913571	0.4099869	0.8066306	0.1780206	0.7492239	0.4003513	0.6103108	0.4967627	0.6385064	0.7725073	0.7981357	0.5039726	0.5000120	0.6291790	0.6868741	0.4032520	0.7853762	0.1063745	0.7660230	0.7388321	0.6507824	0.4614880	0.6962120	0.5020181	0.5800480	0.6916486	0.6836713	0.4233628	0.6592946	0.0000000	0.3902778	0.6388632	0.5438620	0.5734026	0.5096537	0.4857317	0.7253603	0.3882091	0.6152496	0.5276375	0.6599037	0.5604126	0.7628959	0.7569060	0.3476008	0.7009269	0.5733637	0.2987426	0.3363394	0.2748607
