pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.9678482	0.4836978	1.0293388	0.1975148	1.0098599	0.5946405	1.0683080	0.7522707	0.9395472	1.0162652	0.4085715	1.0098188	0.6809426	1.0134728	0.8117482	0.7867949	1.0236994	0.1317736	0.9486974	1.1136894	0.9470667	0.6775729	1.0570853	0.7856272	0.8236232	0.8932824	0.9419284	0.6074506	1.1043150	0.0979733	0.6646371	0.9956158	0.9286476	0.8429352	0.8395171	0.7464111	0.9937588	0.6255490	0.8996769	0.6880627	0.7074174	0.9258413	1.0631427	1.0366188	0.8052726	1.0088019	0.7905449	0.3858906	0.5804202	0.2944046
0.9724503	0.5268496	0.9980032	0.1771999	0.9069115	0.5141714	0.9428388	0.8787854	0.8910987	1.0972560	0.9998660	0.4149484	0.7320774	1.0863124	0.8364063	0.7646142	0.9966141	0.1448300	1.0582032	0.9904653	1.0861515	0.6944576	0.9278944	0.9916710	0.7759034	0.9517321	0.8663472	0.5976385	1.0049423	0.1489016	0.6713961	1.0309445	0.9314833	0.8612735	0.9162976	0.6288485	0.9762593	0.5446451	0.9443942	0.6246756	0.8350190	0.9810563	1.0519507	1.0625218	0.6739770	0.9286155	0.6825657	0.4158281	0.4574999	0.3262707
1.0775801	0.5573071	0.9802643	0.2419509	1.0390965	0.4872802	0.9720295	0.7083769	0.9987812	0.9337497	1.1237269	0.8672833	0.3376580	1.0289849	0.9526909	0.6424652	1.0426415	0.1917713	1.0444576	0.9674818	1.0486728	0.5274620	0.9214030	0.8502567	0.8052606	0.9174255	0.9132734	0.5889739	1.0915198	0.0825424	0.6340619	1.0836700	0.9603931	0.8373925	0.7860634	0.6423162	1.0005927	0.5552919	0.8545887	0.5642986	0.7418050	0.9514741	1.0722360	0.9662168	0.7072805	0.9908885	0.7927924	0.3981534	0.5598969	0.3249813
0.9595499	0.4953914	1.0939983	0.2453906	1.0361497	0.5942787	0.8630109	0.7708172	1.0895018	0.9113684	1.0457736	1.0135020	0.6971471	0.4679986	0.7514164	0.6017519	0.9876744	0.1753595	1.0882070	0.9077488	1.1029610	0.6134721	0.9566094	0.7456320	0.7851972	0.9606444	0.9131536	0.5640349	0.8947101	0.0921549	0.5510760	1.0062338	0.9871214	0.9145369	0.8137658	0.7585039	1.0296671	0.5618191	0.9672197	0.6130460	0.7600448	0.9506821	1.0681790	1.0005658	0.7358519	1.0118140	0.7705280	0.4281143	0.4971621	0.3304352
1.0159183	0.5055500	0.9249071	0.2126235	0.9525559	0.5087339	1.0168693	0.6271715	1.0157607	1.1004324	1.1180580	0.8766352	0.5723235	0.8999417	0.4458920	0.7763449	1.0273354	0.1595276	1.0522304	0.8902411	0.9686959	0.4756236	0.9932677	0.7120477	0.7069973	0.9959043	0.9440711	0.4837109	0.9976587	0.1235179	0.5171695	0.8297104	0.8338552	0.7828786	0.8368834	0.6900774	0.9726336	0.4984096	0.9439801	0.6348229	0.6946185	0.9588806	0.9200297	0.9930556	0.7852776	0.9264571	0.7926073	0.3899025	0.5560191	0.3061085
1.0180590	0.6148052	0.9624613	0.1900145	1.0362406	0.5258607	0.8335020	0.6625137	1.0100312	1.0780972	1.0575760	0.9966121	0.6927522	1.0297161	0.8388427	0.3521057	0.9271281	0.1272430	0.9857357	0.9152969	1.0135178	0.5458175	0.9893155	0.7623000	0.8942726	0.9974350	0.8670365	0.5960067	1.0047200	0.0867924	0.5734040	0.8704348	1.0184776	0.7993796	0.8745786	0.7047166	1.0915325	0.5838986	1.0305152	0.6975359	0.7604663	0.8667689	0.9661501	0.9421414	0.7098868	1.0135322	0.6883567	0.3956483	0.5855088	0.2781763
1.0268917	0.5014703	0.9657036	0.2328716	1.0315998	0.5966597	0.8812522	0.6933285	1.0928672	0.9385194	1.0540158	1.0740107	0.6302041	0.9424382	0.7973037	0.6027116	0.5265200	0.1291217	0.9030044	0.9603715	1.0069145	0.5450970	0.9797295	0.9134071	0.8134038	1.0095759	0.9592589	0.5715779	0.9514099	0.0864047	0.5768903	0.8956455	0.8856438	0.8171363	0.8761901	0.7733779	0.9501512	0.6038480	0.9806232	0.6023518	0.7534733	1.1138974	0.9750125	0.9650632	0.8442986	0.9823408	0.7868007	0.3752321	0.5778411	0.3546152
1.0192993	0.5720711	1.0781184	0.2643681	0.9856166	0.5008859	0.8722345	0.7638497	1.0162886	1.0682925	0.9255123	0.9123484	0.6627674	1.0489379	0.8466029	0.5434268	1.0470525	0.0735261	0.9591224	1.0240373	0.9786465	0.5551602	1.0280745	0.8398832	0.7521440	1.0389137	0.9157539	0.5729414	1.0177155	0.1184949	0.5994978	0.8957113	0.9765042	0.9039817	0.8101261	0.7252348	0.9544557	0.6309723	1.0399028	0.5946766	0.8188381	0.9523429	1.0084653	0.9535569	0.6942622	0.8618752	0.7738613	0.4017759	0.5362013	0.2458598
0.9640669	0.5352465	0.9647902	0.2053194	0.9915316	0.5820714	0.9653788	0.7786577	1.1369323	1.0225008	1.0514493	1.0133279	0.7635585	1.0864547	0.8528824	0.6967904	0.9951188	0.1624555	0.4611574	0.9407902	0.8898904	0.5869816	0.9278591	0.8918526	0.7635019	0.8842107	0.8704911	0.5305885	1.0096812	0.1119966	0.7178031	0.9795421	0.9545309	0.9052449	0.9199135	0.7072335	1.0340959	0.5101715	0.9644291	0.6593977	0.7686894	0.9840689	0.7852882	0.9888562	0.7254486	1.0675221	0.7772590	0.3828073	0.5293744	0.2454084
1.0255038	0.5396140	1.1040612	0.1819331	0.9569764	0.5619728	0.8644127	0.6846697	0.9632148	1.0606816	0.9579198	0.9844331	0.7875719	1.0861894	0.8911977	0.7174779	0.9254171	0.1427117	1.0653601	0.5383767	0.9682304	0.5317696	0.8722209	0.8081684	0.7425851	0.9741243	1.0487638	0.5527947	1.0194293	0.1025464	0.5948710	0.9188352	0.9452511	0.8929475	0.7959878	0.7768850	0.9981897	0.5659432	0.8991104	0.6747450	0.7585802	1.0861832	1.0391005	1.0832015	0.7861160	1.0355048	0.7386055	0.3586394	0.5514357	0.3036103
