pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
1.0862998	0.4376064	0.8196570	0.2207268	1.0935720	0.4362584	0.8756168	0.6509301	1.0405149	0.8967680	1.0611911	1.0588684	0.4795329	0.9859148	0.8655780	0.4126588	0.9804332	0.2884468	0.9798296	1.0154662	0.8811668	0.2631250	0.9677792	0.6908101	0.7339031	0.9162221	1.0730269	0.4411145	0.8466238	0.1880267	0.6214482	1.0249249	0.7020667	0.6634460	0.6733932	0.4949016	0.9344728	0.7077215	0.9634350	0.4194729	0.6012837	1.1125472	0.9926154	0.8912199	0.7641068	0.8954448	0.6555465	0.4113606	0.5801748	0.0409028
1.0428195	0.4996240	0.9698789	0.1993158	0.9946579	0.5337448	0.9961202	0.7476396	0.9970140	0.9468287	0.9837960	0.9224215	0.6582102	0.9983622	0.8127502	0.6200172	0.9643476	0.1743785	0.9119623	0.9725006	0.9936736	0.4927322	0.9095919	0.8630094	0.6666746	0.8852894	0.9442244	0.5600924	0.6800342	0.1113317	0.8695919	1.0972359	0.9027212	0.9727643	0.6629965	0.7020883	0.9608955	0.6497662	0.9094083	0.5560252	0.6552437	1.0809017	0.9598094	1.0227860	0.8548644	0.9059597	0.7264225	0.4334156	0.3678570	0.0719219
0.7417122	0.4362519	0.8431740	0.1967745	0.9241598	0.5006477	0.8651636	0.7674605	1.0506663	1.0760736	0.9754280	0.9113667	0.7480053	0.9549406	0.5798501	0.5295299	0.9206235	0.2237013	0.7146367	0.8771160	1.0576943	0.4682193	0.8938138	0.6851032	0.7550188	0.9178373	0.7899509	0.6715381	0.9893560	0.1332653	0.5547537	0.9842234	0.9418244	0.7815011	0.6399489	0.4817068	0.9284049	0.4404001	1.0113716	0.6172767	0.6108874	1.0710393	1.0087590	1.0425866	0.6055411	1.0357994	0.7131602	0.4054721	0.6011507	0.3088923
0.7630199	0.5360328	0.9717336	0.1874680	1.0273308	0.6928553	0.8255235	0.7887483	0.9901125	0.9563350	0.9962430	0.9155681	0.7302000	1.0460173	0.7057652	0.3486248	0.9910054	0.1417472	0.9349507	1.0168003	0.9782837	0.8685903	0.9131010	0.7378688	0.6389284	0.9721727	0.9469985	0.6547246	1.0961759	0.1508056	0.5803059	0.9537292	0.9619754	0.7947683	0.9015877	0.8016622	0.9056846	0.5289637	0.8002339	0.5866395	0.8210760	0.9889343	0.9338122	1.0590843	0.6106696	1.0190001	0.7654509	0.4354655	0.2889357	0.3088175
0.6707412	0.5848909	0.9835739	0.1583581	0.9106834	0.5526023	0.8429210	0.8857538	0.8365029	0.9907634	1.0231064	0.8182458	0.5221506	1.0444093	0.5329337	0.4886088	0.9635182	0.1836674	0.7800806	0.8628513	0.9887620	0.5389572	0.8192760	0.8272333	0.7490199	0.8269475	0.7921682	0.9237081	0.8536672	0.1264150	0.7207646	0.8959268	0.7907397	0.9675641	0.6823214	0.6153143	1.0026464	0.4990126	1.0366515	0.6004902	0.7893977	0.9595722	0.9942263	0.9986563	0.8507880	1.1448100	0.7235097	0.3723495	0.5519024	0.0581016
1.0943165	0.4744343	0.9585978	0.1597941	0.9827891	0.6176044	0.9622094	0.7430072	1.0002649	1.0791837	1.0360701	0.9692225	0.7568850	0.9330407	0.8170095	0.8324363	0.9162588	0.1466575	0.9677447	0.9654049	0.9855987	0.6678730	0.8709027	0.9480833	0.6774123	0.7703927	1.0195486	0.6685199	0.9785934	0.0763313	0.7123662	0.8696529	0.9036596	0.8078301	0.8800858	0.6593147	0.9150498	0.7694886	0.9652852	0.6599815	0.7940620	0.9285286	1.0000734	0.9879609	0.7175024	0.9611347	0.6999706	0.3844134	0.5964687	0.3003785
0.6641463	0.5704763	0.9975918	0.1694075	0.8986391	0.4817277	0.8721759	0.7761133	1.2224674	0.9700947	1.0494234	0.8842084	0.8488794	1.0485613	0.8691419	0.7063152	1.0502898	0.1672005	0.8000480	0.9010546	0.9954310	0.7391672	0.8209941	0.8021964	0.7187455	0.9221436	0.7841560	0.6726976	1.0019526	0.1333155	0.6492582	0.9096208	0.8343974	0.9017456	0.8319180	0.5618902	0.9140054	0.6361266	0.9610825	0.6856859	0.8339919	1.0126656	0.9640373	0.9703072	0.6281082	0.8722415	0.7024187	0.4283015	0.4170135	0.3100088
0.8982791	0.4445368	0.9820040	0.0998977	1.0819074	0.5637893	0.9235883	0.5776007	0.9418153	1.0535189	1.0387685	0.9389555	0.8668594	0.9690405	0.9024041	0.7506661	0.9780423	0.0984184	0.8647186	0.9434538	0.8700596	0.8982142	0.9404143	0.7333554	0.8216777	0.8853977	1.0828304	0.6026685	0.8406330	0.0251657	0.7122552	1.0430590	0.9433741	0.7668228	0.8778845	0.6946283	1.0227179	0.5358806	0.9461362	0.5823389	0.8136820	0.9853715	1.0171136	1.0069867	0.8400002	1.0141897	0.8357263	0.3505683	0.5594824	0.0768782
0.4623141	0.3820588	0.5074158	0.2946883	0.9230245	0.2983152	0.6556301	0.6255950	1.0104638	0.9573812	0.7549451	0.8639579	0.2356959	1.0084857	0.3869025	0.3249534	0.9366827	0.4286797	0.7527000	0.7491922	0.9625058	0.0724622	0.7836117	0.6556109	0.7501883	0.7356986	0.2755577	0.5649588	0.8069774	0.1070727	0.1886848	0.7968470	0.4954709	0.4581485	0.5423568	0.2914538	0.9438958	0.3218975	0.8341310	0.2929350	0.3695846	0.9862311	0.9501086	0.9589925	0.4650437	1.0648866	0.8591602	0.4431718	0.6428172	0.3208228
1.0374984	0.6044968	0.9200953	0.2079076	0.9124835	0.6849962	0.9908954	0.7299180	0.9288133	0.9229718	1.0153755	1.0004088	0.9337876	1.0279384	0.9642712	0.3815920	1.0041416	0.1354103	0.9683895	0.8677750	1.0054441	0.4684794	0.8714653	0.8473599	0.8189699	0.9301284	0.9945504	0.4685797	0.7024246	0.0243372	0.5965947	1.0573356	0.8700178	0.9589222	0.7205461	0.6629433	0.8833369	0.4906811	1.0182465	0.5649078	0.7363300	1.0725633	1.0173853	1.0265230	0.6713694	0.9358340	0.6478938	0.4373490	0.5511112	0.3377425
